,Name,Price,Year,Make,Model,Body Type
1439,fiat 500l,22145,2016,fiat,500l,wagon
1440,fiat 500x,24617,2016,fiat,500x,sport utility
1441,fiat 124 spider,26595,2017,fiat,124 spider,convertible
1442,fiat 500,23995,2017,fiat,500,convertible
1443,fiat 500l,22345,2017,fiat,500l,wagon
1444,fiat 500x,23522,2017,fiat,500x,sport utility
1445,fiat 124 spider,26645,2018,fiat,124 spider,convertible
1446,fiat 500,24620,2018,fiat,500,convertible
1447,fiat 500l,22445,2018,fiat,500l,wagon
1448,fiat 500x,23705,2018,fiat,500x,sport utility
1449,fiat 124 spider,27240,2019,fiat,124 spider,convertible
1450,fiat 500,24727,2019,fiat,500,convertible
1451,fiat 500l,23115,2019,fiat,500l,wagon
1452,fiat 500x,26842,2019,fiat,500x,sport utility
1453,ferrari 360,159759,2004,ferrari,360,convertible
1454,ferrari 575m maranello,217890,2004,ferrari,575m maranello,coupe
1455,ferrari 360,172186,2005,ferrari,360,convertible
1456,ferrari 575m maranello,217890,2005,ferrari,575m maranello,coupe
1457,ferrari 612 scaglietti,249650,2005,ferrari,612 scaglietti,coupe
1458,ferrari f430,178986,2005,ferrari,f430,convertible
1459,ferrari 612 scaglietti,250509,2006,ferrari,612 scaglietti,coupe
1460,ferrari f430,180244,2006,ferrari,f430,convertible
1461,ferrari 599 gtb fiorano,250984,2007,ferrari,599 gtb fiorano,coupe
1462,ferrari 612 scaglietti,255519,2007,ferrari,612 scaglietti,coupe
1463,ferrari f430,182781,2007,ferrari,f430,convertible
1464,ferrari 599 gtb fiorano,302584,2008,ferrari,599 gtb fiorano,coupe
1465,ferrari 612 scaglietti,263519,2008,ferrari,612 scaglietti,coupe
1466,ferrari f430,232190,2008,ferrari,f430,convertible
1467,ferrari 599 gtb fiorano,302584,2009,ferrari,599 gtb fiorano,coupe
1468,ferrari 612 scaglietti,299720,2009,ferrari,612 scaglietti,coupe
1469,ferrari california,192000,2009,ferrari,california,convertible
1470,ferrari f430,247462,2009,ferrari,f430,convertible
1471,ferrari 458 italia,225325,2010,ferrari,458 italia,convertible
1472,ferrari 599 gtb fiorano,326730,2010,ferrari,599 gtb fiorano,coupe
1473,ferrari 612 scaglietti,313088,2010,ferrari,612 scaglietti,coupe
1474,ferrari california,192000,2010,ferrari,california,convertible
1475,ferrari 458 italia,225325,2011,ferrari,458 italia,convertible
1476,ferrari 599 gtb fiorano,310543,2011,ferrari,599 gtb fiorano,coupe
1477,ferrari 599 gto,410000,2011,ferrari,599 gto,coupe
1478,ferrari california,192000,2011,ferrari,california,convertible
1479,ferrari 458 italia,243412,2012,ferrari,458 italia,convertible
1480,ferrari california,192000,2012,ferrari,california,convertible
1481,ferrari ff,295000,2012,ferrari,ff,hatchback
1482,ferrari 458 italia,245460,2013,ferrari,458 italia,convertible
1483,ferrari california,198190,2013,ferrari,california,convertible
1484,ferrari f12 berlinetta,315888,2013,ferrari,f12 berlinetta,hatchback
1485,ferrari ff,295000,2013,ferrari,ff,hatchback
1486,ferrari 458 italia,260754,2014,ferrari,458 italia,convertible
1487,ferrari california,198190,2014,ferrari,california,convertible
1488,ferrari f12 berlinetta,318888,2014,ferrari,f12 berlinetta,hatchback
1489,ferrari ff,295000,2014,ferrari,ff,hatchback
1490,ferrari laferrari,1416362,2014,ferrari,laferrari,coupe
1491,ferrari 458 italia,265542,2015,ferrari,458 italia,convertible
1492,ferrari california,198973,2015,ferrari,california,convertible
1493,ferrari f12 berlinetta,319995,2015,ferrari,f12 berlinetta,hatchback
1494,ferrari ff,295000,2015,ferrari,ff,hatchback
1495,ferrari laferrari,1416362,2015,ferrari,laferrari,coupe
1496,ferrari 488 gtb,245400,2016,ferrari,488 gtb,coupe
1497,ferrari 488 spider,272700,2016,ferrari,488 spider,convertible
1498,ferrari california,198973,2016,ferrari,california,convertible
1499,ferrari f12 berlinetta,319995,2016,ferrari,f12 berlinetta,hatchback
1500,ferrari ff,300000,2016,ferrari,ff,hatchback
1501,ferrari 488 gtb,252800,2017,ferrari,488 gtb,coupe
1502,ferrari 488 spider,280900,2017,ferrari,488 spider,convertible
1503,ferrari california,202723,2017,ferrari,california,convertible
1504,ferrari f12 berlinetta,319995,2017,ferrari,f12 berlinetta,hatchback
1505,ferrari gtc4lusso,298900,2017,ferrari,gtc4lusso,wagon
1506,ferrari 488 gtb,252800,2018,ferrari,488 gtb,coupe
1507,ferrari 812 superfast,363730,2018,ferrari,812 superfast,coupe
1508,ferrari california,202723,2018,ferrari,california,convertible
1509,fisker karma,108500,2012,fisker,karma,sedan
1510,ford crown victoria,27895,2004,ford,crown victoria,sedan
1511,ford e-150 and econoline 150,26112,2004,ford,e-150 and econoline 150,van
1512,ford e-250 and econoline 250,24062,2004,ford,e-250 and econoline 250,van
1513,ford e-350 and econoline 350,29092,2004,ford,e-350 and econoline 350,van
1514,ford escape,22475,2004,ford,escape,sport utility
1515,ford excursion,43642,2004,ford,excursion,sport utility
1516,ford expedition,37247,2004,ford,expedition,sport utility
1517,ford explorer,32077,2004,ford,explorer,sport utility
1518,ford explorer sport trac,27345,2004,ford,explorer sport trac,truck
1519,ford f150,27800,2004,ford,f150,truck
1520,ford f250,29495,2004,ford,f250,truck
1521,ford f350,30655,2004,ford,f350,truck
1522,ford focus,16147,2004,ford,focus,hatchback
1523,ford freestar,27310,2004,ford,freestar,van
1524,ford mustang,28695,2004,ford,mustang,convertible
1525,ford ranger,20295,2004,ford,ranger,truck
1526,ford taurus,21917,2004,ford,taurus,sedan
1527,ford thunderbird,40412,2004,ford,thunderbird,convertible
1528,ford crown victoria,27475,2005,ford,crown victoria,sedan
1529,ford e-150 and econoline 150,26645,2005,ford,e-150 and econoline 150,van
1530,ford e-250 and econoline 250,24455,2005,ford,e-250 and econoline 250,van
1531,ford e-350 and econoline 350,29655,2005,ford,e-350 and econoline 350,van
1532,ford escape,23940,2005,ford,escape,sport utility
1533,ford excursion,44802,2005,ford,excursion,sport utility
1534,ford expedition,39897,2005,ford,expedition,sport utility
1535,ford explorer,32607,2005,ford,explorer,sport utility
1536,ford explorer sport trac,27972,2005,ford,explorer sport trac,truck
1537,ford f150,30282,2005,ford,f150,truck
1538,ford f250,30270,2005,ford,f250,truck
1539,ford f350,31595,2005,ford,f350,truck
1540,ford five hundred,25127,2005,ford,five hundred,sedan
1541,ford focus,15942,2005,ford,focus,hatchback
1542,ford freestar,27192,2005,ford,freestar,van
1543,ford freestyle,27740,2005,ford,freestyle,wagon
1544,ford gt,149995,2005,ford,gt,coupe
1545,ford mustang,24980,2005,ford,mustang,convertible
1546,ford ranger,20702,2005,ford,ranger,truck
1547,ford taurus,22372,2005,ford,taurus,sedan
1548,ford thunderbird,41355,2005,ford,thunderbird,convertible
1549,ford crown victoria,27670,2006,ford,crown victoria,sedan
1550,ford e-150 and econoline 150,26700,2006,ford,e-150 and econoline 150,van
1551,ford e-250 and econoline 250,24370,2006,ford,e-250 and econoline 250,van
1552,ford e-350 and econoline 350,29505,2006,ford,e-350 and econoline 350,van
1553,ford escape,23952,2006,ford,escape,sport utility
1554,ford expedition,38950,2006,ford,expedition,sport utility
1555,ford explorer,31235,2006,ford,explorer,sport utility
1556,ford f150,29492,2006,ford,f150,truck
1557,ford f250,30077,2006,ford,f250,truck
1558,ford f350,31372,2006,ford,f350,truck
1559,ford five hundred,25230,2006,ford,five hundred,sedan
1560,ford focus,15472,2006,ford,focus,hatchback
1561,ford freestar,24612,2006,ford,freestar,van
1562,ford freestyle,27842,2006,ford,freestyle,wagon
1563,ford fusion,19427,2006,ford,fusion,sedan
1564,ford gt,149995,2006,ford,gt,coupe
1565,ford mustang,25130,2006,ford,mustang,convertible
1566,ford ranger,20560,2006,ford,ranger,truck
1567,ford taurus,21905,2006,ford,taurus,sedan
1568,ford crown victoria,26117,2007,ford,crown victoria,sedan
1569,ford e-150 and econoline 150,26900,2007,ford,e-150 and econoline 150,van
1570,ford e-250 and econoline 250,25105,2007,ford,e-250 and econoline 250,van
1571,ford e-350 and econoline 350,30197,2007,ford,e-350 and econoline 350,van
1572,ford edge,28020,2007,ford,edge,sport utility
1573,ford escape,23290,2007,ford,escape,sport utility
1574,ford expedition,34620,2007,ford,expedition,sport utility
1575,ford expedition el,38185,2007,ford,expedition el,sport utility
1576,ford explorer,30367,2007,ford,explorer,sport utility
1577,ford explorer sport trac,27177,2007,ford,explorer sport trac,truck
1578,ford f150,28780,2007,ford,f150,truck
1579,ford f250,30137,2007,ford,f250,truck
1580,ford f350,31432,2007,ford,f350,truck
1581,ford five hundred,25747,2007,ford,five hundred,sedan
1582,ford focus,15632,2007,ford,focus,hatchback
1583,ford freestar,24637,2007,ford,freestar,van
1584,ford freestyle,28487,2007,ford,freestyle,wagon
1585,ford fusion,20725,2007,ford,fusion,sedan
1586,ford mustang,32502,2007,ford,mustang,convertible
1587,ford ranger,19197,2007,ford,ranger,truck
1588,ford taurus,22135,2007,ford,taurus,sedan
1589,ford crown victoria,27252,2008,ford,crown victoria,sedan
1590,ford e-150 and econoline 150,26425,2008,ford,e-150 and econoline 150,van
1591,ford e-250 and econoline 250,25845,2008,ford,e-250 and econoline 250,van
1592,ford e-350 and econoline 350,30937,2008,ford,e-350 and econoline 350,van
1593,ford edge,29290,2008,ford,edge,sport utility
1594,ford escape,24177,2008,ford,escape,sport utility
1595,ford expedition,37467,2008,ford,expedition,sport utility
1596,ford expedition el,40555,2008,ford,expedition el,sport utility
1597,ford explorer,31592,2008,ford,explorer,sport utility
1598,ford explorer sport trac,28360,2008,ford,explorer sport trac,truck
1599,ford f150,29052,2008,ford,f150,truck
1600,ford f250,30455,2008,ford,f250,truck
1601,ford f350,31610,2008,ford,f350,truck
1602,ford focus,15660,2008,ford,focus,hatchback
1603,ford fusion,21442,2008,ford,fusion,sedan
1604,ford mustang,33402,2008,ford,mustang,convertible
1605,ford ranger,19420,2008,ford,ranger,truck
1606,ford taurus,26552,2008,ford,taurus,sedan
1607,ford taurus x,29815,2008,ford,taurus x,wagon
1608,ford crown victoria,28005,2009,ford,crown victoria,sedan
1609,ford e-150 and econoline 150,28427,2009,ford,e-150 and econoline 150,van
1610,ford e-250 and econoline 250,27510,2009,ford,e-250 and econoline 250,van
1611,ford e-350 and econoline 350,32630,2009,ford,e-350 and econoline 350,van
1612,ford edge,31620,2009,ford,edge,sport utility
1613,ford escape,27080,2009,ford,escape,sport utility
1614,ford expedition,41347,2009,ford,expedition,sport utility
1615,ford expedition el,44435,2009,ford,expedition el,sport utility
1616,ford explorer,33825,2009,ford,explorer,sport utility
1617,ford explorer sport trac,31302,2009,ford,explorer sport trac,truck
1618,ford f150,32960,2009,ford,f150,truck
1619,ford f250,33075,2009,ford,f250,truck
1620,ford f350,34230,2009,ford,f350,truck
1621,ford f450,47770,2009,ford,f450,truck
1622,ford flex,32680,2009,ford,flex,sport utility
1623,ford focus,16892,2009,ford,focus,hatchback
1624,ford fusion,22320,2009,ford,fusion,sedan
1625,ford mustang,34190,2009,ford,mustang,convertible
1626,ford ranger,21100,2009,ford,ranger,truck
1627,ford taurus,28845,2009,ford,taurus,sedan
1628,ford taurus x,31222,2009,ford,taurus x,wagon
1629,ford crown victoria,28427,2010,ford,crown victoria,sedan
1630,ford e-150 and econoline 150,27967,2010,ford,e-150 and econoline 150,van
1631,ford e-250 and econoline 250,27185,2010,ford,e-250 and econoline 250,van
1632,ford e-350 and econoline 350,32142,2010,ford,e-350 and econoline 350,van
1633,ford edge,31595,2010,ford,edge,sport utility
1634,ford escape,27570,2010,ford,escape,sport utility
1635,ford expedition,42087,2010,ford,expedition,sport utility
1636,ford expedition el,45175,2010,ford,expedition el,sport utility
1637,ford explorer,33940,2010,ford,explorer,sport utility
1638,ford explorer sport trac,31900,2010,ford,explorer sport trac,truck
1639,ford f150,34400,2010,ford,f150,truck
1640,ford f250,34365,2010,ford,f250,truck
1641,ford f350,35200,2010,ford,f350,truck
1642,ford f450,50190,2010,ford,f450,truck
1643,ford flex,35707,2010,ford,flex,sport utility
1644,ford focus,17535,2010,ford,focus,hatchback
1645,ford fusion,24025,2010,ford,fusion,sedan
1646,ford mustang,36560,2010,ford,mustang,convertible
1647,ford ranger,21810,2010,ford,ranger,truck
1648,ford taurus,31470,2010,ford,taurus,sedan
1649,ford transit connect,21970,2010,ford,transit connect,van
1650,ford crown victoria,28427,2011,ford,crown victoria,sedan
1651,ford e-150 and econoline 150,28467,2011,ford,e-150 and econoline 150,van
1652,ford e-250 and econoline 250,27852,2011,ford,e-250 and econoline 250,van
1653,ford e-350 and econoline 350,32642,2011,ford,e-350 and econoline 350,van
1654,ford edge,33207,2011,ford,edge,sport utility
1655,ford escape,28035,2011,ford,escape,sport utility
1656,ford expedition,42930,2011,ford,expedition,sport utility
1657,ford expedition el,46017,2011,ford,expedition el,sport utility
1658,ford explorer,33947,2011,ford,explorer,sport utility
1659,ford f150,37280,2011,ford,f150,truck
1660,ford f250,39232,2011,ford,f250,truck
1661,ford f350,40285,2011,ford,f350,truck
1662,ford f450,47832,2011,ford,f450,truck
1663,ford fiesta,15350,2011,ford,fiesta,hatchback
1664,ford flex,37437,2011,ford,flex,sport utility
1665,ford focus,18155,2011,ford,focus,hatchback
1666,ford fusion,24425,2011,ford,fusion,sedan
1667,ford mustang,37895,2011,ford,mustang,convertible
1668,ford ranger,22115,2011,ford,ranger,truck
1669,ford taurus,31720,2011,ford,taurus,sedan
1670,ford transit connect,22290,2011,ford,transit connect,van
1671,ford e-150 and econoline 150,28915,2012,ford,e-150 and econoline 150,van
1672,ford e-250 and econoline 250,28307,2012,ford,e-250 and econoline 250,van
1673,ford e-350 and econoline 350,33090,2012,ford,e-350 and econoline 350,van
1674,ford edge,33365,2012,ford,edge,sport utility
1675,ford escape,28135,2012,ford,escape,sport utility
1676,ford expedition,43105,2012,ford,expedition,sport utility
1677,ford expedition el,46192,2012,ford,expedition el,sport utility
1678,ford explorer,34067,2012,ford,explorer,sport utility
1679,ford f150,37902,2012,ford,f150,truck
1680,ford f250,39795,2012,ford,f250,truck
1681,ford f350,40847,2012,ford,f350,truck
1682,ford f450,48395,2012,ford,f450,truck
1683,ford fiesta,15350,2012,ford,fiesta,hatchback
1684,ford flex,36285,2012,ford,flex,sport utility
1685,ford focus,27850,2012,ford,focus,hatchback
1686,ford fusion,24940,2012,ford,fusion,sedan
1687,ford mustang,38060,2012,ford,mustang,convertible
1688,ford taurus,31855,2012,ford,taurus,sedan
1689,ford transit connect,22922,2012,ford,transit connect,van
1690,ford c-max,29075,2013,ford,c-max,wagon
1691,ford e-150 and econoline 150,29612,2013,ford,e-150 and econoline 150,van
1692,ford e-250 and econoline 250,29465,2013,ford,e-250 and econoline 250,van
1693,ford e-350 and econoline 350,34015,2013,ford,e-350 and econoline 350,van
1694,ford edge,33425,2013,ford,edge,sport utility
1695,ford escape,27295,2013,ford,escape,sport utility
1696,ford expedition,45980,2013,ford,expedition,sport utility
1697,ford expedition el,48660,2013,ford,expedition el,sport utility
1698,ford explorer,34940,2013,ford,explorer,sport utility
1699,ford f150,38685,2013,ford,f150,truck
1700,ford f250,41657,2013,ford,f250,truck
1701,ford f350,43155,2013,ford,f350,truck
1702,ford f450,58682,2013,ford,f450,truck
1703,ford fiesta,15700,2013,ford,fiesta,hatchback
1704,ford flex,37360,2013,ford,flex,sport utility
1705,ford focus,27700,2013,ford,focus,hatchback
1706,ford fusion,31000,2013,ford,fusion,sedan
1707,ford mustang,40700,2013,ford,mustang,convertible
1708,ford taurus,33000,2013,ford,taurus,sedan
1709,ford transit connect,23312,2013,ford,transit connect,van
1710,ford c-max,27902,2014,ford,c-max,wagon
1711,ford e-150 and econoline 150,30637,2014,ford,e-150 and econoline 150,van
1712,ford e-250 and econoline 250,30740,2014,ford,e-250 and econoline 250,van
1713,ford e-350 and econoline 350,35040,2014,ford,e-350 and econoline 350,van
1714,ford edge,33825,2014,ford,edge,sport utility
1715,ford escape,26975,2014,ford,escape,sport utility
1716,ford expedition,49090,2014,ford,expedition,sport utility
1717,ford expedition el,51770,2014,ford,expedition el,sport utility
1718,ford explorer,35845,2014,ford,explorer,sport utility
1719,ford f150,39717,2014,ford,f150,truck
1720,ford f250,41817,2014,ford,f250,truck
1721,ford f350,43315,2014,ford,f350,truck
1722,ford f450,59045,2014,ford,f450,truck
1723,ford fiesta,17750,2014,ford,fiesta,hatchback
1724,ford flex,35695,2014,ford,flex,sport utility
1725,ford focus,22990,2014,ford,focus,hatchback
1726,ford fusion,29235,2014,ford,fusion,sedan
1727,ford mustang,41310,2014,ford,mustang,convertible
1728,ford taurus,33380,2014,ford,taurus,sedan
1729,ford transit connect,25500,2014,ford,transit connect,van
1730,ford c-max,27970,2015,ford,c-max,wagon
1731,ford edge,34097,2015,ford,edge,sport utility
1732,ford escape,27467,2015,ford,escape,sport utility
1733,ford expedition,53497,2015,ford,expedition,sport utility
1734,ford expedition el,56177,2015,ford,expedition el,sport utility
1735,ford explorer,36900,2015,ford,explorer,sport utility
1736,ford f150,40667,2015,ford,f150,truck
1737,ford f250,43777,2015,ford,f250,truck
1738,ford f350,45275,2015,ford,f350,truck
1739,ford f450,61154,2015,ford,f450,truck
1740,ford fiesta,17945,2015,ford,fiesta,hatchback
1741,ford flex,35750,2015,ford,flex,sport utility
1742,ford focus,23170,2015,ford,focus,hatchback
1743,ford fusion,29565,2015,ford,fusion,sedan
1744,ford mustang,34985,2015,ford,mustang,convertible
1745,ford taurus,33637,2015,ford,taurus,sedan
1746,ford transit 150,32582,2015,ford,transit 150,van
1747,ford transit 250,34000,2015,ford,transit 250,van
1748,ford transit 350,38692,2015,ford,transit 350,van
1749,ford transit connect,25757,2015,ford,transit connect,van
1750,ford c-max,27970,2016,ford,c-max,wagon
1751,ford edge,34800,2016,ford,edge,sport utility
1752,ford escape,27667,2016,ford,escape,sport utility
1753,ford expedition,54405,2016,ford,expedition,sport utility
1754,ford expedition el,57085,2016,ford,expedition el,sport utility
1755,ford explorer,42010,2016,ford,explorer,sport utility
1756,ford f150,44425,2016,ford,f150,truck
1757,ford f250,44812,2016,ford,f250,truck
1758,ford f350,46310,2016,ford,f350,truck
1759,ford f450,62190,2016,ford,f450,truck
1760,ford fiesta,18020,2016,ford,fiesta,hatchback
1761,ford flex,36210,2016,ford,flex,sport utility
1762,ford focus,26562,2016,ford,focus,hatchback
1763,ford fusion,29240,2016,ford,fusion,sedan
1764,ford mustang,35970,2016,ford,mustang,convertible
1765,ford taurus,33802,2016,ford,taurus,sedan
1766,ford transit 150,33445,2016,ford,transit 150,van
1767,ford transit 250,34975,2016,ford,transit 250,van
1768,ford transit 350,39405,2016,ford,transit 350,van
1769,ford transit connect,25987,2016,ford,transit connect,van
1770,ford c-max,27147,2017,ford,c-max,wagon
1771,ford edge,34925,2017,ford,edge,sport utility
1772,ford escape,27375,2017,ford,escape,sport utility
1773,ford expedition,54925,2017,ford,expedition,sport utility
1774,ford expedition el,57885,2017,ford,expedition el,sport utility
1775,ford explorer,42447,2017,ford,explorer,sport utility
1776,ford f150,45367,2017,ford,f150,truck
1777,ford f250,47522,2017,ford,f250,truck
1778,ford f350,49435,2017,ford,f350,truck
1779,ford f450,65635,2017,ford,f450,truck
1780,ford fiesta,17400,2017,ford,fiesta,hatchback
1781,ford flex,36527,2017,ford,flex,sport utility
1782,ford focus,26447,2017,ford,focus,hatchback
1783,ford fusion,31865,2017,ford,fusion,sedan
1784,ford mustang,40015,2017,ford,mustang,convertible
1785,ford taurus,34932,2017,ford,taurus,sedan
1786,ford transit 150,34365,2017,ford,transit 150,van
1787,ford transit 250,35625,2017,ford,transit 250,van
1788,ford transit 350,38755,2017,ford,transit 350,van
1789,ford transit connect,26667,2017,ford,transit connect,van
1790,ford c-max,25697,2018,ford,c-max,wagon
1791,ford ecosport,23662,2018,ford,ecosport,sport utility
1792,ford edge,35042,2018,ford,edge,sport utility
1793,ford escape,28715,2018,ford,escape,sport utility
1794,ford expedition,63982,2018,ford,expedition,sport utility
1795,ford expedition max,66670,2018,ford,expedition max,sport utility
1796,ford explorer,43040,2018,ford,explorer,sport utility
1797,ford f150,46245,2018,ford,f150,truck
1798,ford f250,56685,2018,ford,f250,truck
1799,ford f350,58595,2018,ford,f350,truck
1800,ford f450,69040,2018,ford,f450,truck
1801,ford fiesta,17745,2018,ford,fiesta,hatchback
1802,ford flex,36790,2018,ford,flex,sport utility
1803,ford focus,29535,2018,ford,focus,hatchback
1804,ford fusion,31807,2018,ford,fusion,sedan
1805,ford mustang,40810,2018,ford,mustang,convertible
1806,ford taurus,35277,2018,ford,taurus,sedan
1807,ford transit 150,35187,2018,ford,transit 150,van
1808,ford transit 250,36465,2018,ford,transit 250,van
1809,ford transit 350,39647,2018,ford,transit 350,van
1810,ford transit connect,26872,2018,ford,transit connect,van
1811,ford ecosport,23802,2019,ford,ecosport,sport utility
1812,ford edge,36175,2019,ford,edge,sport utility
1813,ford escape,29112,2019,ford,escape,sport utility
1814,ford expedition,62522,2019,ford,expedition,sport utility
1815,ford expedition max,65712,2019,ford,expedition max,sport utility
1816,ford explorer,43265,2019,ford,explorer,sport utility
1817,ford f150,49357,2019,ford,f150,truck
1818,ford f250,56795,2019,ford,f250,truck
1819,ford f350,58705,2019,ford,f350,truck
1820,ford f450,66940,2019,ford,f450,truck
1821,ford fiesta,17800,2019,ford,fiesta,hatchback
1822,ford flex,37082,2019,ford,flex,sport utility
1823,ford fusion,31427,2019,ford,fusion,sedan
1824,ford mustang,42767,2019,ford,mustang,convertible
1825,ford ranger,31342,2019,ford,ranger,truck
1826,ford taurus,35387,2019,ford,taurus,sedan
1827,ford transit 150,36352,2019,ford,transit 150,van
1828,ford transit 250,37225,2019,ford,transit 250,van
1829,ford transit 350,40427,2019,ford,transit 350,van
1830,ford transit connect,27847,2019,ford,transit connect,van
1831,gmc canyon,22012,2004,gmc,canyon,truck
1832,gmc envoy,32770,2004,gmc,envoy,sport utility
1833,gmc envoy xl,34720,2004,gmc,envoy xl,sport utility
1834,gmc envoy xuv,34750,2004,gmc,envoy xuv,sport utility
1835,gmc safari,24445,2004,gmc,safari,van
1836,gmc savana 1500,26200,2004,gmc,savana 1500,van
1837,gmc savana 2500,26000,2004,gmc,savana 2500,van
1838,gmc savana 3500,28529,2004,gmc,savana 3500,van
1839,gmc sierra 1500,30725,2004,gmc,sierra 1500,truck
1840,gmc sierra 2500,32135,2004,gmc,sierra 2500,truck
1841,gmc sierra 3500,35107,2004,gmc,sierra 3500,truck
1842,gmc sonoma,24960,2004,gmc,sonoma,truck
1843,gmc yukon,42660,2004,gmc,yukon,sport utility
1844,gmc yukon xl,45010,2004,gmc,yukon xl,sport utility
1845,gmc canyon,21905,2005,gmc,canyon,truck
1846,gmc envoy,33740,2005,gmc,envoy,sport utility
1847,gmc envoy xl,34965,2005,gmc,envoy xl,sport utility
1848,gmc envoy xuv,32947,2005,gmc,envoy xuv,sport utility
1849,gmc safari,24680,2005,gmc,safari,van
1850,gmc savana 1500,26487,2005,gmc,savana 1500,van
1851,gmc savana 2500,26212,2005,gmc,savana 2500,van
1852,gmc savana 3500,28579,2005,gmc,savana 3500,van
1853,gmc sierra 1500,29962,2005,gmc,sierra 1500,truck
1854,gmc sierra 2500,32747,2005,gmc,sierra 2500,truck
1855,gmc sierra 3500,35430,2005,gmc,sierra 3500,truck
1856,gmc yukon,43345,2005,gmc,yukon,sport utility
1857,gmc yukon xl,45695,2005,gmc,yukon xl,sport utility
1858,gmc canyon,18967,2006,gmc,canyon,truck
1859,gmc envoy,31132,2006,gmc,envoy,sport utility
1860,gmc envoy xl,32490,2006,gmc,envoy xl,sport utility
1861,gmc savana 1500,25060,2006,gmc,savana 1500,van
1862,gmc savana 2500,24295,2006,gmc,savana 2500,van
1863,gmc savana 3500,26899,2006,gmc,savana 3500,van
1864,gmc sierra 1500,27307,2006,gmc,sierra 1500,truck
1865,gmc sierra 2500,29782,2006,gmc,sierra 2500,truck
1866,gmc sierra 3500,30762,2006,gmc,sierra 3500,truck
1867,gmc yukon,42445,2006,gmc,yukon,sport utility
1868,gmc yukon xl,44795,2006,gmc,yukon xl,sport utility
1869,gmc acadia,32240,2007,gmc,acadia,sport utility
1870,gmc canyon,19087,2007,gmc,canyon,truck
1871,gmc envoy,31975,2007,gmc,envoy,sport utility
1872,gmc savana 1500,25597,2007,gmc,savana 1500,van
1873,gmc savana 2500,25325,2007,gmc,savana 2500,van
1874,gmc savana 3500,28319,2007,gmc,savana 3500,van
1875,gmc sierra 1500,28517,2007,gmc,sierra 1500,truck
1876,gmc sierra 2500,30937,2007,gmc,sierra 2500,truck
1877,gmc sierra 3500,31732,2007,gmc,sierra 3500,truck
1878,gmc yukon,41227,2007,gmc,yukon,sport utility
1879,gmc yukon xl,44055,2007,gmc,yukon xl,sport utility
1880,gmc acadia,34402,2008,gmc,acadia,sport utility
1881,gmc canyon,20077,2008,gmc,canyon,truck
1882,gmc envoy,32542,2008,gmc,envoy,sport utility
1883,gmc savana 1500,26805,2008,gmc,savana 1500,van
1884,gmc savana 2500,26037,2008,gmc,savana 2500,van
1885,gmc savana 3500,29739,2008,gmc,savana 3500,van
1886,gmc sierra 1500,29900,2008,gmc,sierra 1500,truck
1887,gmc sierra 2500,32500,2008,gmc,sierra 2500,truck
1888,gmc sierra 3500,32867,2008,gmc,sierra 3500,truck
1889,gmc yukon,44100,2008,gmc,yukon,sport utility
1890,gmc yukon xl,45545,2008,gmc,yukon xl,sport utility
1891,gmc acadia,36190,2009,gmc,acadia,sport utility
1892,gmc canyon,21890,2009,gmc,canyon,truck
1893,gmc envoy,34647,2009,gmc,envoy,sport utility
1894,gmc savana 1500,28197,2009,gmc,savana 1500,van
1895,gmc savana 2500,27407,2009,gmc,savana 2500,van
1896,gmc savana 3500,31200,2009,gmc,savana 3500,van
1897,gmc sierra 1500,33525,2009,gmc,sierra 1500,truck
1898,gmc sierra 2500,35100,2009,gmc,sierra 2500,truck
1899,gmc sierra 3500,37380,2009,gmc,sierra 3500,truck
1900,gmc yukon,49392,2009,gmc,yukon,sport utility
1901,gmc yukon xl,48580,2009,gmc,yukon xl,sport utility
1902,gmc acadia,36962,2010,gmc,acadia,sport utility
1903,gmc canyon,23410,2010,gmc,canyon,truck
1904,gmc savana 1500,28362,2010,gmc,savana 1500,van
1905,gmc savana 2500,32702,2010,gmc,savana 2500,van
1906,gmc savana 3500,35535,2010,gmc,savana 3500,van
1907,gmc sierra 1500,34520,2010,gmc,sierra 1500,truck
1908,gmc sierra 2500,35685,2010,gmc,sierra 2500,truck
1909,gmc sierra 3500,36052,2010,gmc,sierra 3500,truck
1910,gmc terrain,27775,2010,gmc,terrain,sport utility
1911,gmc yukon,49682,2010,gmc,yukon,sport utility
1912,gmc yukon xl,50120,2010,gmc,yukon xl,sport utility
1913,gmc acadia,38690,2011,gmc,acadia,sport utility
1914,gmc canyon,23580,2011,gmc,canyon,truck
1915,gmc savana 1500,28687,2011,gmc,savana 1500,van
1916,gmc savana 2500,33032,2011,gmc,savana 2500,van
1917,gmc savana 3500,37962,2011,gmc,savana 3500,van
1918,gmc sierra 1500,34905,2011,gmc,sierra 1500,truck
1919,gmc sierra 2500,37607,2011,gmc,sierra 2500,truck
1920,gmc sierra 3500,38470,2011,gmc,sierra 3500,truck
1921,gmc terrain,28075,2011,gmc,terrain,sport utility
1922,gmc yukon,50357,2011,gmc,yukon,sport utility
1923,gmc yukon xl,50907,2011,gmc,yukon xl,sport utility
1924,gmc acadia,39822,2012,gmc,acadia,sport utility
1925,gmc canyon,24640,2012,gmc,canyon,truck
1926,gmc savana 1500,28792,2012,gmc,savana 1500,van
1927,gmc savana 2500,33497,2012,gmc,savana 2500,van
1928,gmc savana 3500,38427,2012,gmc,savana 3500,van
